company,sentence,predicted_esg,semantic_score
sap-2023-integrated-report.pdf,"we report on our contribution to the un sustainable development goals (sdgs) and have embedded the recommended disclosures of the task force on climate-related financial disclosures (tcfd), of the sustainability accounting standards board (sasb) standards, and of the world economic forum (wef) stakeholder capitalism metrics.",E,0.4419779440500012
sap-2023-integrated-report.pdf,any further deviations for the sustainability reporting are specifically mentioned in the respective chapters.,E,0.3633583997048293
sap-2023-integrated-report.pdf,our executive management has confirmed the effectiveness of our internal controls over financial reporting.,G,0.3068323017170733
sap-2023-integrated-report.pdf,"we apply the gri principles (sustainability context, stakeholder inclusiveness, materiality, and completeness) for defining report content.",E,0.31904298035188594
sap-2023-integrated-report.pdf,independent audit and assurance bdo ag wirtschaftsprüfungsgesellschaft (bdo) has audited our consolidated financial statements and our combined management report.,G,0.2998421487193992
sap-2023-integrated-report.pdf,information relating to the non-financial statement included in sap’s management report has been audited with limited assurance by bdo.,G,0.3288435932685685
sap-2023-integrated-report.pdf,"the independent auditor’s report and the assurance reports of bdo for the non-financial statement and selected sustainability information are available in the independent auditor’s report section, in the independent auditor’s report on a limited assurance engagement of the combined non-financial statement, and in the independent auditor’s report on a limited assurance engagement on sustainability information section.",G,0.31346529690867214
sap-2023-integrated-report.pdf,concept and realization this report was designed by sap and created with sap s/4hana software and the sap disclosure management application.,G,0.2737557885293448
sap-2023-integrated-report.pdf,"2/324 [page 3] sap integrated report 2023 contents to our stakeholders 4 combined management report 45 consolidated financial statements ifrs 151 further information about sustainability 259 additional information 315 3/324 [page 4] sap integrated report 2023 to our combined management consolidated financial further information about additional stakeholders report statements ifrs sustainability information to our stakeholders letter from the ceo 5 sap executive board 8 investor relations 10 report by the supervisory board 15 responsibility statement 28 independent auditor’s report 29 independent auditor’s report on a limited assurance engagement of the combined non-financial statement 29 independent auditor’s report on a limited assurance engagement on sustainability information 42 4/324 [page 5] sap integrated report 2023 to our combined management consolidated financial further information about additional stakeholders report statements ifrs sustainability information letter from the ceo dear fellow shareholders, 2023 was another year of exponential developments around the globe.",G,0.3762822371702951
sap-2023-integrated-report.pdf,"our sustainability offering enables customers to systematically track key metrics, including carbon emissions, and to take effective action.",E,0.38156956396092917
sap-2023-integrated-report.pdf,"in 2023, sap achieved carbon neutrality in its own operations and continues to focus on achieving net zero by 2030 along our value chain.",E,0.4332512871016584
sap-2023-integrated-report.pdf,"roughly 1,000 new customers chose sap’s sustainability solutions in 2023 alone.",E,0.3601566168137903
sap-2023-integrated-report.pdf,"on behalf of the entire executive board, i would like to thank all sap colleagues for these excellent achievements in a challenging environment.",G,0.26020303220918495
sap-2023-integrated-report.pdf,"i would like to thank you, dear fellow shareholders, for your trust in sap in 2023 – and i am excited about the great opportunities and promising future that lie ahead.",G,0.3009974357456029
sap-2023-integrated-report.pdf,"sincerely, christian klein ceo, sap se 7/324 [page 8] sap integrated report 2023 to our combined management consolidated financial further information about additional stakeholders report statements ifrs sustainability information sap executive board christian klein chief executive officer (ceo) joined sap: 1999 appointed to the executive board: 2018 current executive board term expires: 2025 nationality: german year of birth: 1980 other board memberships: supervisory board, adidas ag, herzogenaurach, germany dominik asam chief financial officer joined sap: 2023 appointed to the executive board: 2023 current executive board term expires: 2026 nationality: german year of birth: 1969 other board memberships: supervisory board, bertelsmann management se and bertelsmann se & co.",G,0.3124340173457996
